MEMBER_ID,OPTIMIZED_EXPECTED_FINAL_PORTFOLIO_VALUE,OPTIMIZED_MEDIAN_FINAL_PORTFOLIO_VALUE,OPTIMIZED_STANDARD_DEVIATION_OF_FINAL_PORTFOLIO_VALUE,OPTIMIZED_VALUE_AT_RISK,OPTIMIZED_CONDITIONAL_VALUE_AT_RISK,OPTIMIZED_PROBABILITY_OF_LOSS,OPTIMIZED_SHARPE_RATIO
MID214524,"$65,227.60","$63,061.43","$14,507.76",,,12.80%,1.0496
MID214525,"$89,098.75","$87,115.48","$19,912.70",,,15.60%,1.0093
MID214526,"$125,449.40","$122,408.91","$26,597.68",,,14.00%,1.0696
MID214527,"$126,137.57","$122,732.75","$27,803.77",,,13.80%,1.0480
MID214528,"$116,124.84","$112,842.05","$25,196.74",,,13.40%,1.0368
MID214529,"$1,293,841.24","$1,274,114.21","$288,535.95",,,12.60%,1.0184
MID214530,"$115,382.40","$111,678.59","$26,600.28",,,12.60%,1.0294
MID214531,"$12,685.60","$12,298.29","$2,684.00",,,13.60%,1.0006
MID214532,"$12,757.22","$12,489.65","$2,652.62",,,13.40%,1.0394
MID214533,"$65,002.77","$63,551.27","$14,161.69",,,13.80%,1.0594
MID214534,"$116,747.26","$114,541.57","$24,556.69",,,12.20%,1.0892
MID214535,"$6,436.97","$6,329.42","$1,312.59",,,13.40%,1.0948
MID214536,"$89,837.37","$88,646.32","$18,994.53",,,12.60%,1.0970
MID214537,"$64,321.62","$63,206.33","$13,280.56",,,14.20%,1.0784
MID214538,"$58,132.33","$56,787.88","$12,125.17",,,15.00%,1.0831
MID214539,"$51,178.36","$50,180.43","$11,023.31",,,15.60%,1.0141
MID214540,"$1,283,022.27","$1,266,237.11","$266,745.55",,,14.80%,1.0610
MID214541,"$63,841.23","$63,038.78","$13,111.93",,,13.00%,1.1319
MID214542,"$114,342.55","$111,305.28","$25,211.52",,,13.40%,1.0449
MID214543,"$64,482.60","$62,928.12","$13,455.86",,,14.00%,1.0763
MID214544,"$123,319.60","$119,730.10","$27,192.19",,,15.80%,0.9679
MID214545,"$71,156.19","$69,748.26","$16,035.82",,,16.00%,1.0075
MID214546,"$88,307.25","$86,847.89","$18,465.73",,,14.20%,1.0456
MID214547,"$62,933.91","$61,719.05","$13,379.47",,,13.40%,1.0414
MID214548,"$124,365.20","$121,196.41","$26,992.31",,,16.00%,1.0138
MID214549,"$12,621.48","$12,314.44","$2,720.42",,,16.20%,0.9636
MID214550,"$116,304.37","$113,285.61","$23,810.43",,,13.40%,1.1047
MID214551,"$1,312,242.97","$1,277,192.93","$267,578.18",,,11.20%,1.1669
MID214552,"$58,011.06","$56,187.52","$11,860.45",,,12.00%,1.0970
MID214553,"$6,471.19","$6,349.74","$1,305.39",,,12.20%,1.1270
MID214554,"$64,698.78","$62,635.09","$13,934.28",,,13.20%,1.0549
MID214555,"$1,291,597.67","$1,271,683.49","$278,566.31",,,14.60%,1.0468
MID214556,"$1,298.26","$1,293.74",$280.04,,,15.40%,1.0651
MID214557,"$102,721.47","$100,186.72","$23,101.23",,,15.60%,0.9836
MID214558,"$58,272.21","$57,722.97","$12,041.50",,,13.60%,1.1022
MID214559,"$51,669.30","$50,040.52","$10,395.52",,,11.60%,1.1225
MID214560,"$89,567.92","$88,395.17","$19,418.89",,,15.80%,1.0592
MID214561,"$63,170.02","$62,617.12","$13,340.48",,,14.40%,1.0622
MID214562,"$112,919.56","$111,045.11","$23,573.78",,,15.00%,1.0571
MID214563,"$1,297.08","$1,273.00",$271.50,,,13.40%,1.0942
MID214564,"$64,371.68","$63,476.73","$13,152.68",,,13.60%,1.0927
MID214565,"$1,293,676.50","$1,255,419.30","$266,349.17",,,11.60%,1.1026
MID214566,"$57,869.43","$57,043.49","$11,766.58",,,13.20%,1.0937
MID214567,"$124,364.58","$120,364.05","$25,918.00",,,12.60%,1.0558
MID214568,"$72,116.64","$71,097.86","$14,791.78",,,12.80%,1.1572
MID214569,"$6,509.50","$6,340.33","$1,357.45",,,9.60%,1.1120
MID214570,"$6,428.71","$6,262.96","$1,268.27",,,11.80%,1.1265
MID214571,"$125,841.32","$122,915.36","$26,989.49",,,13.60%,1.0686
MID214572,"$14,071.20","$13,747.38","$3,041.54",,,15.60%,1.0098
MID214573,"$122,866.63","$119,171.18","$25,573.00",,,12.60%,1.0115
MID214574,"$115,568.15","$112,534.74","$26,356.44",,,15.80%,0.9701
MID214575,"$12,842.13","$12,550.95","$2,791.02",,,12.00%,1.0183
MID214576,"$12,959.96","$12,615.40","$2,832.04",,,13.20%,1.0452
MID214577,"$89,413.50","$88,198.85","$19,503.13",,,14.40%,1.0467
MID214578,"$70,575.39","$68,690.87","$14,241.00",,,11.00%,1.0937
MID214579,"$65,211.52","$63,968.92","$13,305.37",,,11.00%,1.1433
MID214580,"$125,225.12","$122,915.63","$25,042.42",,,12.00%,1.1271
MID214581,"$64,851.66","$63,256.78","$13,510.84",,,12.00%,1.0992
MID214582,"$65,902.94","$64,274.27","$14,967.76",,,12.40%,1.0625
MID214583,"$52,463.28","$51,114.19","$11,412.46",,,11.40%,1.0921
MID214584,"$89,413.52","$86,538.20","$20,207.11",,,12.60%,1.0102
MID214585,"$1,298,574.73","$1,252,802.96","$284,421.00",,,13.60%,1.0498
MID214586,"$12,953.68","$12,694.05","$2,756.65",,,12.80%,1.0715
MID214587,"$51,954.21","$50,141.21","$12,157.49",,,13.00%,0.9833
MID214588,"$62,673.09","$61,614.77","$12,824.32",,,12.80%,1.0662
MID214589,"$103,493.72","$101,257.45","$22,917.96",,,13.60%,1.0251
MID214590,"$125,117.82","$121,581.65","$26,146.42",,,12.20%,1.0754
MID214591,"$51,154.77","$50,270.59","$10,553.59",,,13.60%,1.0570
MID214592,"$1,311.90","$1,286.25",$286.43,,,12.20%,1.0889
MID214593,"$64,142.13","$63,242.08","$13,507.94",,,10.80%,1.1210
MID214594,"$6,400.60","$6,267.67","$1,313.54",,,14.80%,1.0663
MID214595,"$6,455.02","$6,318.45","$1,351.48",,,12.80%,1.0766
MID214596,"$1,298.89","$1,270.00",$270.02,,,9.40%,1.1069
MID214597,"$14,428.05","$13,999.57","$2,965.52",,,9.80%,1.1560
MID214598,"$6,340.92","$6,164.98","$1,367.80",,,14.40%,0.9803
MID214599,"$1,299.00","$1,274.63",$282.27,,,13.40%,1.0593
MID214600,"$13,172.65","$12,900.54","$2,812.71",,,11.80%,1.1280
MID214601,"$64,083.29","$63,061.66","$13,164.37",,,15.20%,1.0698
MID214602,"$63,747.18","$62,241.40","$14,149.96",,,14.80%,1.0422
MID214603,"$103,860.36","$100,944.12","$23,517.41",,,14.00%,1.0146
MID214604,"$103,324.41","$101,629.83","$22,187.15",,,14.80%,1.0513
MID214605,"$14,187.16","$13,889.10","$3,213.12",,,15.00%,0.9919
MID214606,"$51,972.06","$50,413.72","$11,511.70",,,13.20%,1.0400
MID214607,"$14,204.58","$13,715.82","$3,145.47",,,13.20%,1.0188
MID214608,"$1,285,130.40","$1,267,440.87","$265,863.25",,,13.20%,1.0725
MID214609,"$63,607.51","$60,917.72","$14,457.44",,,13.40%,1.0104
MID214610,"$63,261.38","$61,809.47","$13,593.85",,,13.60%,1.0491
MID214611,"$14,133.26","$13,772.46","$3,074.82",,,14.20%,1.0190
MID214612,"$114,667.77","$111,636.98","$26,483.11",,,15.20%,1.0070
MID214613,"$113,040.65","$109,908.61","$25,868.91",,,14.80%,0.9680
MID214614,"$58,287.82","$56,750.36","$12,504.64",,,11.60%,1.0626
MID214615,"$12,963.65","$12,661.42","$2,949.76",,,13.60%,1.0047
MID214616,"$115,610.08","$114,308.35","$23,242.23",,,13.60%,1.1019
MID214617,"$114,584.21","$112,974.37","$24,485.67",,,13.00%,1.0857
MID214618,"$64,111.45","$62,175.65","$14,685.81",,,13.20%,1.0290
MID214619,"$111,625.76","$108,084.00","$23,718.88",,,12.80%,0.9961
MID214620,"$51,799.71","$50,400.50","$11,182.39",,,15.20%,1.0552
MID214621,"$58,971.82","$57,276.48","$12,924.35",,,11.80%,1.0810
MID214622,"$63,115.71","$61,917.86","$13,091.17",,,13.80%,1.0783
MID214623,"$114,975.05","$112,158.04","$24,186.03",,,11.20%,1.1153
MID214624,"$114,368.49","$110,921.52","$24,298.91",,,11.40%,1.0852
MID214625,"$70,684.54","$69,895.62","$14,544.40",,,13.00%,1.0784
MID214626,"$72,079.22","$70,683.06","$15,040.82",,,12.60%,1.1355
MID214627,"$124,445.61","$122,914.18","$25,139.26",,,12.00%,1.0917
MID214628,"$112,769.61","$110,482.96","$24,676.38",,,14.80%,1.0038
MID214629,"$116,444.85","$113,942.70","$25,239.27",,,13.60%,1.0478
MID214630,"$1,289,120.73","$1,259,783.16","$266,256.90",,,10.80%,1.0859
MID214631,"$50,785.51","$48,806.46","$11,391.41",,,17.00%,0.9468
MID214632,"$6,454.40","$6,340.12","$1,378.53",,,14.80%,1.0550
MID214633,"$70,574.69","$68,053.21","$15,647.70",,,15.20%,0.9953
MID214634,"$116,854.95","$113,485.72","$25,399.30",,,12.60%,1.0573
MID214635,"$58,317.50","$56,540.91","$12,647.64",,,12.60%,1.0530
MID214636,"$14,231.08","$13,822.83","$3,049.97",,,13.80%,1.0594
MID214637,"$6,468.56","$6,284.08","$1,362.64",,,12.80%,1.0777
MID214638,"$117,106.34","$113,130.11","$24,856.37",,,11.60%,1.0905
MID214639,"$59,251.12","$58,140.96","$12,874.83",,,12.60%,1.1069
MID214640,"$124,448.96","$121,622.80","$25,123.30",,,14.00%,1.0926
MID214641,"$6,499.91","$6,318.87","$1,452.21",,,13.60%,1.0328
MID214642,"$1,263.60","$1,221.83",$274.01,,,14.20%,0.9620
MID214643,"$1,276,474.31","$1,250,467.75","$260,594.26",,,13.60%,1.0609
MID214644,"$1,306,932.94","$1,266,997.84","$284,323.18",,,11.60%,1.0795
MID214645,"$63,553.99","$61,634.08","$14,423.31",,,17.00%,0.9397
MID214646,"$65,906.87","$65,013.93","$13,543.03",,,11.20%,1.1745
MID214647,"$63,537.19","$62,143.21","$14,149.15",,,13.60%,1.0274
MID214648,"$1,284,869.79","$1,255,078.48","$269,003.07",,,13.00%,1.0590
MID214649,"$87,383.20","$84,486.91","$18,138.71",,,13.60%,1.0135
MID214650,"$65,373.27","$64,198.45","$13,324.78",,,9.60%,1.1537
MID214651,"$89,742.61","$88,024.55","$19,596.06",,,14.80%,1.0585
MID214652,"$124,930.52","$121,280.45","$27,793.78",,,15.40%,1.0049
MID214653,"$1,282.26","$1,263.39",$257.56,,,11.00%,1.0959
MID214654,"$12,828.38","$12,580.67","$2,684.19",,,15.40%,1.0537
MID214655,"$14,191.40","$13,650.08","$3,200.70",,,13.80%,0.9971
MID214656,"$58,661.12","$57,655.62","$12,052.21",,,12.00%,1.1335
MID214657,"$70,345.97","$69,639.07","$15,260.92",,,16.00%,1.0056
MID214658,"$14,181.96","$13,960.75","$3,156.24",,,14.00%,1.0081
MID214659,"$51,570.20","$50,402.54","$11,001.87",,,13.80%,1.0517
MID214660,"$89,821.93","$88,707.71","$19,070.63",,,14.00%,1.0918
MID214661,"$12,745.65","$12,580.76","$2,628.06",,,15.40%,1.0447
MID214662,"$63,125.07","$60,983.07","$13,924.16",,,13.40%,1.0144
MID214663,"$1,296,365.46","$1,258,097.66","$268,416.87",,,13.60%,1.1041
MID214664,"$1,283,708.22","$1,258,424.92","$269,085.66",,,12.00%,1.0543
MID214665,"$71,561.15","$69,910.15","$15,167.95",,,12.40%,1.0919
MID214666,"$64,481.11","$63,247.31","$13,639.81",,,13.20%,1.0617
MID214667,"$13,038.11","$12,740.49","$2,828.74",,,13.00%,1.0740
MID214668,"$58,047.55","$57,001.99","$13,256.73",,,17.80%,0.9842
MID214669,"$56,559.78","$54,983.38","$12,134.60",,,16.00%,0.9526
MID214670,"$124,171.85","$122,828.06","$26,539.77",,,13.80%,1.0238
MID214671,"$124,863.65","$122,158.63","$27,783.16",,,15.00%,1.0029
MID214672,"$1,258,876.55","$1,237,924.63","$264,862.04",,,16.00%,0.9774
MID214673,"$89,565.95","$87,153.62","$18,815.95",,,11.40%,1.0930
MID214674,"$6,419.89","$6,326.78","$1,290.80",,,13.40%,1.1000
MID214675,"$64,798.04","$63,237.33","$13,908.78",,,11.60%,1.0639
MID214676,"$71,478.01","$69,533.36","$14,989.09",,,14.00%,1.0993
MID214677,"$1,290.55","$1,265.47",$265.89,,,11.80%,1.0927
MID214678,"$115,891.00","$114,091.91","$26,065.71",,,14.00%,0.9933
MID214679,"$12,815.44","$12,652.36","$2,587.76",,,11.40%,1.0880
MID214680,"$112,684.96","$110,692.32","$23,160.69",,,11.40%,1.0658
MID214681,"$12,723.04","$12,430.96","$2,691.66",,,15.20%,1.0117
MID214682,"$1,271,638.38","$1,244,084.58","$272,494.05",,,15.80%,0.9969
MID214683,"$6,435.77","$6,298.28","$1,315.73",,,13.40%,1.0912
MID214684,"$51,813.48","$50,573.68","$11,032.61",,,12.20%,1.0708
MID214685,"$88,908.39","$86,296.54","$19,190.38",,,14.40%,1.0374
MID214686,"$51,858.27","$50,992.79","$10,982.54",,,13.60%,1.0797
MID214687,"$87,566.58","$85,000.72","$17,883.89",,,12.60%,1.0382
MID214688,"$71,190.61","$70,091.27","$15,146.79",,,12.40%,1.0689
MID214689,"$12,896.22","$12,490.33","$2,766.34",,,12.80%,1.0470
MID214690,"$13,082.60","$12,839.06","$2,870.00",,,13.60%,1.0741
MID214691,"$126,085.88","$123,487.82","$26,515.42",,,12.60%,1.0969
MID214692,"$89,908.25","$86,971.56","$20,023.85",,,12.00%,1.0442
MID214693,"$1,281,625.34","$1,254,419.31","$285,160.49",,,17.20%,0.9876
MID214694,"$57,526.55","$55,948.08","$12,468.20",,,14.20%,1.0047
MID214695,"$1,282,325.36","$1,245,662.54","$262,072.96",,,13.40%,1.0773
MID214696,"$64,777.91","$63,182.75","$13,665.31",,,13.20%,1.0814
MID214697,"$14,232.98","$13,960.22","$3,110.96",,,12.80%,1.0392
MID214698,"$62,453.91","$60,934.91","$13,339.62",,,14.00%,1.0086
MID214699,"$65,364.98","$63,121.70","$14,371.60",,,12.60%,1.0691
MID214700,"$68,900.42","$66,907.53","$14,840.78",,,16.00%,0.9366
MID214701,"$63,118.59","$61,095.31","$13,832.27",,,13.80%,1.0207
MID214702,"$14,087.23","$13,575.78","$3,198.13",,,14.60%,0.9653
MID214703,"$71,650.79","$70,333.33","$15,515.70",,,12.20%,1.0732
MID214704,"$118,169.38","$113,586.33","$27,384.86",,,12.80%,1.0286
MID214705,"$125,692.24","$122,551.22","$26,221.82",,,13.00%,1.0942
MID214706,"$116,718.97","$113,579.66","$24,199.67",,,12.60%,1.1041
MID214707,"$71,318.48","$70,587.84","$15,798.92",,,14.80%,1.0329
MID214708,"$115,994.90","$112,667.69","$25,640.15",,,13.60%,1.0138
MID214709,"$1,296.91","$1,263.25",$268.09,,,12.80%,1.1075
MID214710,"$114,018.21","$111,324.32","$24,835.37",,,14.60%,1.0476
MID214711,"$64,342.76","$62,474.54","$13,996.14",,,13.60%,1.0248
MID214712,"$1,289.51","$1,242.45",$277.83,,,12.80%,1.0421
MID214713,"$63,511.73","$62,333.77","$13,912.22",,,13.80%,1.0431
MID214714,"$1,297.57","$1,283.96",$269.30,,,13.40%,1.1050
MID214715,"$1,293,240.08","$1,275,957.12","$283,016.85",,,15.60%,1.0361
MID214716,"$1,293,406.54","$1,262,660.08","$282,667.09",,,14.60%,1.0380
MID214717,"$113,515.84","$111,054.91","$24,455.54",,,14.60%,1.0434
MID214718,"$102,378.37","$100,206.88","$20,770.68",,,13.60%,1.0774
MID214719,"$116,175.87","$113,980.39","$25,074.07",,,13.80%,1.0439
MID214720,"$57,893.02","$56,654.53","$12,309.41",,,13.80%,1.0474
MID214721,"$57,929.69","$56,044.07","$12,008.43",,,12.80%,1.0767
MID214722,"$71,304.80","$68,947.48","$14,936.29",,,12.80%,1.0916
MID214723,"$1,284.50","$1,256.59",$276.34,,,14.40%,1.0295
MID214724,"$1,301.44","$1,277.76",$275.66,,,12.40%,1.0935
MID214725,"$71,306.07","$69,982.89","$15,682.22",,,13.60%,1.0398
MID214726,"$1,300,246.21","$1,266,815.29","$279,564.75",,,13.00%,1.0740
MID214727,"$64,382.74","$61,743.56","$12,558.94",,,10.00%,1.1452
MID214728,"$58,698.34","$57,441.48","$13,120.54",,,13.60%,1.0440
MID214729,"$1,278.74","$1,242.27",$245.25,,,11.60%,1.1366
MID214730,"$116,884.70","$113,944.25","$25,704.97",,,13.20%,1.0459
MID214731,"$13,941.71","$13,708.91","$2,923.12",,,15.20%,1.0064
MID214732,"$62,942.87","$62,295.14","$12,307.09",,,10.80%,1.1329
MID214733,"$1,304.29","$1,271.99",$280.56,,,11.80%,1.0846
MID214734,"$14,188.52","$13,820.98","$2,959.47",,,12.40%,1.0774
MID214735,"$117,628.08","$113,708.16","$25,125.24",,,11.80%,1.0996
MID214736,"$51,548.04","$49,762.89","$11,137.54",,,15.00%,1.0369
MID214737,"$126,312.24","$122,842.25","$26,577.92",,,11.40%,1.1029
MID214738,"$64,871.08","$63,304.01","$13,459.21",,,13.00%,1.1049
MID214739,"$70,451.86","$68,469.62","$14,336.25",,,14.40%,1.0778
MID214740,"$111,958.77","$109,456.62","$25,690.65",,,16.40%,0.9326
MID214741,"$102,724.24","$100,456.49","$21,396.13",,,15.00%,1.0621
MID214742,"$115,585.00","$113,172.96","$25,187.50",,,12.80%,1.0158
MID214743,"$6,445.14","$6,285.72","$1,381.02",,,14.40%,1.0464
MID214744,"$1,277,324.81","$1,260,585.85","$276,970.73",,,15.20%,1.0013
MID214745,"$123,605.55","$121,176.41","$27,356.83",,,16.20%,0.9725
MID214746,"$1,293.97","$1,279.01",$275.24,,,13.60%,1.0681
MID214747,"$51,891.35","$50,909.81","$10,763.41",,,12.40%,1.1048
MID214748,"$87,163.36","$85,807.22","$17,446.14",,,15.80%,1.0411
MID214749,"$6,428.24","$6,280.89","$1,307.15",,,11.40%,1.0926
MID214750,"$88,785.61","$87,075.61","$18,634.56",,,14.60%,1.0618
MID214751,"$117,231.97","$114,327.27","$25,936.39",,,12.40%,1.0500
MID214752,"$88,355.37","$86,393.51","$18,512.79",,,14.00%,1.0455
MID214753,"$58,221.25","$57,581.81","$11,899.23",,,11.40%,1.1111
MID214754,"$71,657.60","$69,938.80","$15,378.55",,,13.00%,1.0832
MID214755,"$65,363.47","$63,882.83","$14,001.62",,,11.40%,1.0973
MID214756,"$14,371.77","$13,910.22","$3,112.86",,,11.00%,1.0832
MID214757,"$89,055.34","$86,553.66","$19,258.38",,,12.60%,1.0414
MID214758,"$50,883.79","$49,579.66","$10,353.31",,,13.80%,1.0512
MID214759,"$104,631.61","$102,097.32","$22,942.61",,,13.40%,1.0736
MID214760,"$6,413.50","$6,270.20","$1,417.69",,,14.60%,0.9970
MID214761,"$57,644.29","$56,364.93","$11,834.59",,,13.20%,1.0684
MID214762,"$6,375.13","$6,217.35","$1,355.61",,,12.80%,1.0144
MID214763,"$6,444.43","$6,184.61","$1,426.72",,,14.60%,1.0124
MID214764,"$112,178.80","$109,600.26","$24,354.67",,,14.20%,0.9928
MID214765,"$51,656.27","$50,963.47","$10,882.71",,,14.00%,1.0711
MID214766,"$1,272,646.68","$1,254,616.96","$264,884.45",,,14.80%,1.0293
MID214767,"$64,141.01","$62,405.77","$14,058.71",,,14.80%,1.0059
MID214768,"$6,435.82","$6,253.22","$1,384.14",,,14.20%,1.0373
MID214769,"$52,066.84","$50,571.07","$11,165.14",,,12.40%,1.0808
MID214770,"$63,282.90","$61,601.06","$14,210.61",,,17.40%,0.9347
MID214771,"$64,371.59","$62,280.46","$14,487.10",,,14.40%,0.9920
MID214772,"$12,953.94","$12,720.07","$2,680.96",,,13.00%,1.1018
MID214773,"$51,669.42","$50,057.56","$11,133.00",,,14.00%,1.0482
MID214774,"$51,821.98","$49,874.55","$11,180.21",,,11.80%,1.0574
MID214775,"$118,292.51","$115,403.03","$25,460.47",,,13.20%,1.1112
MID214776,"$64,011.04","$62,162.50","$13,666.26",,,12.40%,1.0252
MID214777,"$14,238.13","$13,891.44","$3,108.25",,,12.60%,1.0418
MID214778,"$1,293,241.69","$1,265,198.15","$279,268.69",,,13.60%,1.0500
MID214779,"$1,285,294.86","$1,273,689.11","$275,488.00",,,14.00%,1.0356
MID214780,"$71,662.93","$69,338.36","$16,193.30",,,12.80%,1.0290
MID214781,"$65,503.36","$64,270.40","$13,888.66",,,11.60%,1.1163
MID214782,"$62,298.32","$61,745.68","$12,886.31",,,15.00%,1.0320
MID214783,"$58,053.84","$56,703.78","$13,096.02",,,15.00%,0.9968
MID214784,"$113,195.96","$109,715.09","$24,496.35",,,13.80%,1.0286
MID214785,"$115,225.46","$113,410.64","$24,884.52",,,13.20%,1.0941
MID214786,"$104,348.74","$101,706.87","$21,922.90",,,11.40%,1.1107
MID214787,"$58,538.17","$56,779.56","$13,168.69",,,13.40%,1.0281
MID214788,"$63,670.18","$63,030.52","$13,621.57",,,13.80%,1.0770
MID214789,"$1,307,090.23","$1,284,123.63","$274,278.58",,,11.40%,1.1196
MID214790,"$63,685.27","$62,363.31","$14,455.68",,,14.80%,1.0159
MID214791,"$102,626.78","$101,276.67","$22,279.87",,,13.40%,1.0156
MID214792,"$52,198.51","$50,929.54","$11,158.33",,,13.20%,1.0932
MID214793,"$72,149.63","$70,395.24","$15,340.18",,,12.40%,1.1180
MID214794,"$1,282.07","$1,249.35",$284.22,,,14.40%,0.9924
MID214795,"$124,933.00","$122,255.91","$26,414.38",,,12.60%,1.0575
MID214796,"$117,012.92","$113,751.90","$26,462.11",,,14.60%,1.0208
MID214797,"$1,292.83","$1,263.66",$271.50,,,13.20%,1.0786
MID214798,"$58,037.19","$56,871.05","$12,399.91",,,12.80%,1.0514
MID214799,"$62,732.81","$61,117.63","$12,998.76",,,15.20%,1.0565
MID214800,"$14,155.66","$13,856.69","$2,942.38",,,12.80%,1.0725
MID214801,"$70,848.97","$69,026.14","$15,818.42",,,14.00%,1.0019
MID214802,"$1,306,505.48","$1,278,670.03","$276,706.13",,,13.40%,1.1077
MID214803,"$70,475.67","$68,431.73","$14,940.71",,,13.20%,1.0358
MID214804,"$88,501.33","$86,529.37","$18,545.77",,,13.20%,1.0515
MID214805,"$89,487.50","$87,401.69","$18,475.15",,,11.60%,1.1089
MID214806,"$62,862.16","$61,004.02","$13,812.94",,,15.00%,1.0036
MID214807,"$118,128.32","$115,724.21","$25,956.21",,,13.00%,1.0837
MID214808,"$1,301,808.82","$1,271,643.95","$256,704.48",,,10.60%,1.1757
MID214809,"$51,662.09","$50,537.49","$10,771.07",,,13.20%,1.0827
MID214810,"$14,197.03","$13,849.59","$3,204.09",,,15.40%,0.9978
MID214811,"$70,955.38","$68,211.94","$15,267.86",,,12.60%,1.0450
MID214812,"$1,297.93","$1,271.12",$283.28,,,13.60%,1.0517
MID214813,"$125,890.98","$122,865.65","$27,595.59",,,13.60%,1.0469
MID214814,"$52,423.70","$51,673.39","$10,800.42",,,10.40%,1.1503
MID214815,"$1,293,482.56","$1,276,205.44","$276,812.88",,,14.00%,1.0602
MID214816,"$125,097.75","$121,668.46","$27,619.57",,,14.40%,1.0173
MID214817,"$1,281,993.47","$1,254,427.68","$281,375.97",,,15.60%,1.0022
MID214818,"$63,310.60","$61,924.69","$13,511.08",,,14.20%,1.0592
MID214819,"$14,248.92","$13,871.03","$3,140.02",,,13.60%,1.0347
MID214820,"$125,034.21","$122,093.13","$26,929.59",,,13.00%,1.0410
MID214821,"$1,281,128.17","$1,255,486.77","$259,676.30",,,12.20%,1.0826
MID214822,"$1,294,292.21","$1,265,851.94","$278,816.66",,,13.00%,1.0555
MID214823,"$127,922.57","$125,535.49","$26,236.61",,,10.40%,1.1786
MID214824,"$58,358.28","$57,668.78","$12,063.16",,,13.20%,1.1074
MID214825,"$117,209.99","$114,571.21","$24,499.16",,,12.20%,1.1106
MID214826,"$6,449.16","$6,264.42","$1,426.24",,,13.40%,1.0161
MID214827,"$6,457.11","$6,182.14","$1,401.78",,,12.00%,1.0395
MID214828,"$88,428.81","$86,071.80","$19,414.44",,,15.60%,1.0007
MID214829,"$1,313,680.59","$1,274,417.88","$292,975.24",,,12.20%,1.0707
MID214830,"$6,307.78","$6,164.61","$1,277.34",,,15.00%,1.0238
MID214831,"$51,083.46","$49,936.38","$10,652.92",,,14.60%,1.0404
MID214832,"$63,088.75","$61,851.92","$14,039.23",,,14.80%,1.0035
MID214833,"$58,658.75","$57,188.50","$12,193.59",,,12.00%,1.1202
MID214834,"$1,308.78","$1,262.79",$279.60,,,11.60%,1.1044
MID214835,"$1,275.64","$1,251.06",$279.63,,,15.80%,0.9857
MID214836,"$1,313.23","$1,291.52",$276.98,,,12.20%,1.1309
MID214837,"$57,880.81","$56,412.84","$12,368.39",,,13.80%,1.0414
MID214838,"$88,211.58","$86,470.89","$19,161.83",,,13.80%,1.0026
MID214839,"$6,430.30","$6,262.27","$1,365.89",,,14.20%,1.0472
MID214840,"$1,281,284.80","$1,264,681.32","$255,623.59",,,13.00%,1.1004
MID214841,"$102,390.23","$99,968.76","$21,877.50",,,14.60%,1.0234
MID214842,"$123,385.05","$122,095.53","$26,213.28",,,16.40%,1.0066
MID214843,"$65,626.97","$64,492.16","$13,458.45",,,10.20%,1.1611
MID214844,"$51,627.71","$50,376.55","$10,683.56",,,13.40%,1.0884
MID214845,"$103,560.14","$100,704.22","$21,915.96",,,12.60%,1.0750
MID214846,"$63,926.47","$62,380.95","$13,364.41",,,12.80%,1.0421
MID214847,"$6,547.86","$6,338.58","$1,496.71",,,13.00%,1.0342
MID214848,"$1,290,859.24","$1,258,020.87","$288,977.76",,,15.20%,1.0065
MID214849,"$6,426.97","$6,337.35","$1,347.64",,,13.60%,1.0589
MID214850,"$51,033.49","$49,880.83","$10,861.82",,,14.00%,1.0158
MID214851,"$14,327.97","$13,905.70","$3,133.49",,,12.40%,1.0621
MID214852,"$51,212.50","$50,659.31","$10,642.15",,,13.60%,1.0536
MID214853,"$63,175.70","$62,257.05","$13,871.10",,,14.80%,1.0220
MID214854,"$14,080.33","$13,723.39","$2,930.55",,,12.20%,1.0511
MID214855,"$14,405.66","$14,101.95","$3,150.01",,,13.00%,1.0812
MID214856,"$57,631.04","$56,076.05","$11,882.14",,,12.40%,1.0630
MID214857,"$51,309.21","$50,538.26","$10,237.68",,,14.00%,1.1047
MID214858,"$116,132.65","$113,254.37","$25,183.53",,,14.00%,1.0377
MID214859,"$63,029.94","$61,420.96","$13,542.35",,,13.60%,1.0360
MID214860,"$116,927.36","$115,014.65","$23,539.93",,,12.20%,1.1439
MID214861,"$51,721.02","$50,645.00","$10,814.32",,,13.60%,1.0838
MID214862,"$1,291.49","$1,262.43",$272.80,,,12.80%,1.0685
MID214863,"$71,474.38","$69,522.96","$15,851.46",,,14.60%,1.0393
MID214864,"$113,901.00","$110,832.63","$23,972.98",,,11.80%,1.0804
MID214865,"$70,545.38","$69,711.34","$14,618.57",,,14.40%,1.0634
MID214866,"$12,793.36","$12,530.40","$2,699.14",,,13.00%,1.0349
MID214867,"$114,439.22","$111,900.54","$23,975.41",,,13.20%,1.1028
MID214868,"$1,275.72","$1,243.99",$271.63,,,14.20%,1.0151
MID214869,"$63,941.10","$62,058.54","$14,121.98",,,15.60%,0.9872
MID214870,"$1,312,025.30","$1,269,076.10","$292,502.33",,,12.60%,1.0667
MID214871,"$113,154.02","$110,674.67","$23,969.05",,,14.40%,1.0494
MID214872,"$126,288.86","$124,538.12","$27,868.95",,,13.40%,1.0509
MID214873,"$12,991.89","$12,594.99","$2,771.46",,,11.40%,1.0795
MID214874,"$12,910.87","$12,541.65","$2,759.60",,,14.40%,1.0548
